Model,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
Nissan Leaf,717,654,1314,951,1216,1156,938,1117,1048,887,1140,1227
Nissan Maxima,3457,3504,3593,2009,2153,2079,2124,3548,3732,3217,2273,3387
Nissan Sentra,14088,17072,25633,13051,18831,21224,16365,11393,10493,13889,11546,11033
Nissan Versa,6649,7410,10933,6710,8116,8882,2702,2817,2914,3373,2825,3265
Porsche 718,263,163,239,612,456,422,438,339,271,239,247,191
Porsche 911,1101,990,803,655,613,458,408,382,911,1302,979,663
Porsche Panamera,487,508,703,992,521,529,476,423,377,360,657,592
Porsche Taycan,-,-,-,-,-,-,-,-,-,-,-,130
Smart ForTwo,83,58,90,85,85,74,56,74,-,-,-,-
Subaru BRZ,259,242,318,287,231,203,167,158,111,112,115,131
Subaru Impreza,4183,4291,5305,4819,5532,5558,6225,7519,5861,5696,5686,5740
Subaru Impreza WRX,1751,1987,2465,2197,2110,1864,1732,1876,1385,1409,1501,1561
Subaru Legacy,2403,2683,3133,2991,2994,3222,3244,3121,2386,2670,2801,3415
Tesla Model 3,6500,5750,10175,10050,13950,20550,13450,13150,20250,15566,16143,15566
Tesla Model S,875,800,2275,825,1025,1750,975,1050,1100,1235,1280,1235
Toyota 86 / FR-S,256,231,320,268,327,259,300,345,211,298,307,276
Toyota Avalon,1858,1906,2855,2372,3250,2616,2705,3064,1827,1755,1715,1844
Toyota Camry,23802,24267,33615,29227,36208,28889,27134,31986,23328,26602,25611,26309
Toyota Corolla,25113,29016,24479,19679,25712,28869,30635,30121,20354,22378,24752,23742
Toyota Mirai,77,94,176,202,248,166,126,98,62,89,98,66
Toyota Prius Family,2987,3661,5410,4799,6615,5769,6592,8261,6164,6679,6723,6058
Toyota Supra,-,-,-,-,-,-,320,643,514,516,487,404
Toyota Yaris,1323,2572,3999,3885,2953,1925,1370,831,333,883,910,932
Volkswagen Arteon,-,-,-,78,245,275,252,329,304,366,317,283
Volkswagen Beetle,971,1457,2027,1566,1691,1686,2224,1916,1208,967,790,712
Volkswagen CC,9,4,9,5,6,5,6,3,3,2,4,2
Volkswagen Golf,1774,2070,3942,3682,3834,3656,3330,3808,2917,2963,2753,2664
Volkswagen Jetta,6875,7109,9105,7745,9653,8486,8086,9592,8090,8582,8966,8164
Volkswagen Passat,2899,2097,2762,1607,1294,797,628,572,314,211,228,714
Volvo 60-Series,1400,1058,1501,1259,1767,1989,1309,1456,1951,2550,1933,2017
Volvo 90-Series,514,367,346,333,206,226,212,141,1094,204,191,218
