Model,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
Chevrolet Corvette,1241,1606,973,443,984,1033,2228,1981,2146,3033,2492,3467
Chevrolet Cruze,132,170,103,50,111,116,25,22,24,10,8,12
Chevrolet Impala,1613,2088,1265,366,813,854,672,597,647,347,285,396
Chevrolet Malibu,11460,14837,8987,2279,5064,5318,8926,7934,8595,9868,8106,11278
Chevrolet Sonic,1410,1825,1106,380,844,887,1524,1355,1468,745,612,851
Chevrolet Spark,3038,3933,2382,956,2124,2231,2936,2610,2827,3523,2894,4026
Chevrolet Volt,7,10,6,7,16,16,2,2,2,-,-,-
Chrysler 200,1,1,1,-,-,-,1,1,1,1,1,1
Chrysler 300,1818,2353,1245,502,1115,1171,1112,988,1070,1720,1413,1966
Dodge Challenger,3942,5104,3092,1778,3952,4150,5727,5090,5515,4927,4047,5631
Dodge Charger,6050,7833,4745,2062,4582,4812,8257,7339,7951,8027,6594,9174
Dodge Dart,1,1,1,-,1,1,-,-,-,-,-,-
Dodge Viper,-,-,-,-,-,-,1,1,1,1,1,1
Fiat 124 Spider,126,163,99,105,232,244,146,130,140,110,90,126
Fiat 500,106,138,83,43,96,100,34,30,32,4,3,5
Fiat 500L,42,55,33,22,50,52,48,43,47,28,23,32
Ford Fiesta,884,1145,694,78,174,182,47,42,46,11,51,-
Ford Fusion,11997,15532,9408,4407,9794,10283,10254,9115,9874,6526,5902,7573
Ford GT,26,33,20,3,7,8,-,-,-,14,4,10
Ford Mustang,5869,7598,4602,2829,6287,6601,4857,4317,4677,4399,4119,4935
Genesis G70,716,841,517,551,870,897,883,950,899,826,683,803
Genesis G80,456,457,284,161,319,324,242,226,133,89,55,613
Genesis G90,227,289,168,94,161,208,132,184,96,139,139,235
Honda Accord,15099,18216,13810,8851,17369,15409,17221,19167,20149,19185,15473,19509
Honda Civic,20054,25617,18273,13410,27244,23260,25188,25524,22371,21865,17372,21047
Honda Clarity FCV,475,559,221,90,248,187,213,251,354,719,347,-
Honda CR-Z,-,1,-,-,-,-,-,-,-,-,-,551
Honda Fit,2534,2853,1792,1187,2598,2923,3571,3814,3116,3082,2313,2705
Honda Insight,1433,1613,857,511,1127,1423,1922,1886,1472,1375,1080,1233
Hyundai Accent,1565,2046,1196,736,1512,1239,1538,1135,1348,1129,972,1559
Hyundai Elantra,7874,10441,7430,7536,7608,7561,9283,9135,8235,11428,8095,10849
Hyundai Ioniq,1278,1481,763,422,626,868,1826,879,1096,1202,1090,2039
Hyundai Sonata,5501,6144,3957,3428,5852,5407,6834,7965,8038,7570,8242,8059
Hyundai Veloster,665,842,575,541,858,-,861,836,601,443,296,267
Infiniti Q50,1811,2344,1420,656,1457,1530,1356,1206,1306,1163,955,1329
Infiniti Q60,301,390,236,139,308,323,207,184,199,171,140,195
Infiniti Q70,37,48,29,3,6,6,2,2,2,1,1,2
Jaguar F-Type,181,161,168,52,116,122,140,125,135,169,139,193
Jaguar XE,187,166,173,65,144,151,140,125,135,135,111,154
Jaguar XF,67,60,62,29,64,67,70,62,68,67,55,77
Jaguar XJ,127,113,117,65,144,151,105,94,101,34,28,39
Kia Cadenza,197,192,96,50,70,65,100,53,99,115,99,129
Kia Forte,6248,8513,7598,4222,6603,6260,7410,8414,7643,8107,6860,7119
Kia K5,-,-,-,-,-,-,1268,3631,5763,7528,7437,6029
Kia K900,26,23,16,12,25,23,25,34,25,41,22,33
Kia Optima,6177,5760,8408,6894,5854,5732,4949,3307,1020,255,104,24
Kia Rio,1628,3082,2135,1436,1760,1706,2056,2097,2143,2104,1728,2052
Kia Soul,5530,5816,5367,3565,6234,7439,7622,6968,6700,6318,4767,5446
Kia Stinger,743,1063,754,871,1393,1527,1427,1101,913,1013,847,904
Lexus ES,3037,3356,2854,1397,3105,3260,3868,4366,4541,4117,4290,5101
Lexus GS,227,224,173,122,272,285,269,330,262,200,111,85
Lexus IS,741,1058,913,428,952,1000,886,1212,1531,1362,1228,2289
Lexus LC,98,86,56,-,70,74,89,107,131,164,188,230
Lexus LFA,-,2,-,-,-,-,-,-,1,-,-,-
Lexus LS,378,261,162,145,250,263,255,299,303,471,339,524
Lexus RC,289,299,169,140,312,328,341,372,389,406,347,416
Lincoln Continental,508,657,398,182,405,425,455,404,438,501,378,505
Lincoln MKZ,1131,1464,887,537,1194,1254,1285,1143,1238,791,583,1011
Mazda 2,-,-,-,-,-,-,-,-,-,-,-,3256
Mazda 3,2496,3759,1863,1492,3368,3250,3231,3175,2535,2570,2613,-
Mazda 6,1755,1730,1021,746,1477,1356,1199,1230,1451,1356,1196,1687
Mazda MX-5 Miata,396,807,497,552,1102,966,696,774,862,851,610,694
Mercedes-Benz A-Class,1201,1555,942,739,1642,1724,1378,1225,1327,1214,998,1388
Mercedes-Benz AMG GT,314,407,246,153,153,356,263,234,253,312,256,356
Mercedes-Benz C-Class,2227,2883,1746,-,2610,2741,2530,2249,2436,1922,1579,2196
Mercedes-Benz CLA-Class,1065,1379,835,1175,1172,1231,789,701,760,856,703,978
Mercedes-Benz E / CLS-Class,2293,2969,1798,1234,2743,2880,2271,2018,2187,2263,1859,2587
Mercedes-Benz S-Class,768,995,603,327,727,763,858,763,826,661,543,755
Mercedes-Benz SL-Class,130,169,102,71,158,165,195,173,187,146,120,167
Mercedes-Benz SLC-Class,136,176,107,90,200,210,255,227,246,160,131,183
Mini Cooper,1157,1498,907,656,1457,1530,2119,1877,1998,1850,1520,2115
Mitsubishi Mirage,1511,1852,1283,1352,1202,1252,2047,1820,1972,1634,1342,1868
Nissan 370Z,182,236,143,135,300,315,178,159,172,46,37,52
Nissan Altima,15378,19909,12059,3906,8681,9115,9830,8738,9466,13800,11335,15771
Nissan GT-R,19,24,15,13,28,29,40,35,38,21,17,24
Nissan Leaf,636,823,499,189,420,441,672,597,647,1566,1280,1789
Nissan Maxima,1982,2566,1554,717,1673,1673,1392,1237,1340,1352,1110,1545
Nissan Sentra,7756,10041,6082,3583,7963,8361,9147,8131,8808,8357,6865,9551
Nissan Versa,3955,5120,3101,1380,3066,3220,3670,3262,3534,6060,4978,6926
Porsche 718,130,168,102,85,189,198,380,338,366,503,413,575
Porsche 911,841,1089,660,404,898,943,549,488,529,822,676,940
Porsche Panamera,385,498,302,157,348,366,373,332,359,253,208,290
Porsche Taycan,72,83,56,147,327,344,652,579,627,512,420,585
Subaru BRZ,112,166,114,105,227,238,266,267,251,221,129,171
Subaru Impreza,3978,3916,2395,1857,3085,3389,4259,4654,4622,4329,3174,3970
Subaru Impreza WRX,1399,1787,1354,1368,2255,2170,1845,1218,2040,2060,1714,1968
Subaru Legacy,2471,2434,1630,1358,1954,2054,2629,2681,2825,2490,2192,2522
Tesla Model 3,19000,17500,8000,5400,12000,12600,31208,27740,30052,14506,11916,16578
Tesla Model S,1900,1700,1000,576,1280,1344,2630,2338,2532,1687,1386,1928
Toyota 86 / FR-S,222,280,202,116,258,271,231,236,152,172,131,205
Toyota Avalon,1510,1550,1020,627,1393,1463,1762,1813,1833,1857,1680,1913
Toyota Camry,24824,29245,23119,8768,19484,20459,22792,27892,28362,29666,29373,30364
Toyota Corolla,23477,26590,19147,7270,16155,16963,17564,19154,19894,21569,23987,25409
Toyota Mirai,57,59,31,11,25,26,27,64,41,27,111,20
Toyota Prius Family,4089,4532,2862,1620,3600,3780,4391,3905,3787,3633,3248,4078
Toyota Supra,342,398,273,231,512,538,515,500,489,677,708,704
Toyota Yaris,860,965,591,236,525,551,509,726,691,442,199,141
Volkswagen Arteon,256,331,597,143,319,335,370,329,357,324,266,371
Volkswagen Beetle,523,677,410,506,1124,1181,-,-,-,-,-,-
Volkswagen CC,6,7,4,-,-,-,-,-,-,-,-,-
Volkswagen Golf,2501,3238,2529,827,1838,1930,1751,1557,1687,1564,1285,1788
Volkswagen Jetta,6945,8992,13623,2875,6388,6708,7054,6270,6792,8495,6978,9709
Volkswagen Passat,1943,2515,3156,742,1648,1730,2135,1898,2056,2285,1877,2612
Volvo 40 Series,-,-,1099,-,-,-,-,-,-,-,-,-
Volvo 60-Series,1021,1385,-,506,1241,1486,1546,1790,2341,1213,1736,1464
Volvo 90-Series,102,136,116,91,178,263,332,676,718,146,239,198
